Species Number,Alpha Code,Common Name,Band Size,French Name,Scientific Name,T & E*,Comments,Taxonomic Order
3815,BCLO,Blue-crowned Lorikeet,"2, 3",Lori fringillaire,Vini australis,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",629
3816,GREP,Green Parakeet,"3B, 3, 3A",Conure verte,Psittacara holochlorus,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",632
3817,MIPA,Mitred Parakeet,"3A, 3B",Conure mitrée,Psittacara mitratus,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",636
3818,WWPA,White-winged Parakeet,"2, 3",Toui à ailes variées,Brotogeris versicolurus,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",639
3819,YCPA,Yellow-chevroned Parakeet,"2, 3",Toui à ailes jaunes,Brotogeris chiriri,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",640
3821,TBPA,Thick-billed Parrot,"4A, 4",Conure à gros bec,Rhynchopsitta pachyrhyncha,Y,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",637
3822,RRPA,Rose-ringed Parakeet,"3, 2, 3A",Perruche à collier,Psittacula krameri,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",645
3823,RFLO,Rosy-faced Lovebird,"1B, 1A",Inséparable rosegorge,Agapornis roseicollis,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",646
3824,MOPA,Monk Parakeet,4,Conure veuve,Myiopsitta monachus,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",630
3825,RMPA,Red-masked Parakeet,4A,Conure à tête rouge,Psittacara erythrogenys,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",638
3826,RCPA,Red-crowned Parrot,"4A, 4",Amazone à joues vertes,Amazona viridigenalis,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",643
3827,HPRT,Hispaniolan Parrot,6,Amazone d'Hispaniola,Amazona ventralis,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",641
3828,PRPA,Puerto Rican Parrot,"4A, 4",Amazone de Porto Rico,Amazona vittata,Y,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",642
3829,OWAM,Orange-winged Amazon,"4A, 4",Amazona amazonica,Amazona amazonica,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",644
3830,SBAN,Smooth-billed Ani,"3A, 4",Ani à bec lisse,Crotophaga ani,,,501
3840,GBAN,Groove-billed Ani,"3A, 3B, 3",Ani à bec cannelé,Crotophaga sulcirostris,,,502
3850,GRRO,Greater Roadrunner,5,Grand Géocoucou,Geococcyx californianus,,,500
3851,PRLC,Puerto Rican Lizard-Cuckoo,"3B, 3, 3A",Tacco de Porto Rico,Coccyzus vieilloti,,,498
3860,MACU,Mangrove Cuckoo,"2, 3, 3B",Coulicou manioc,Coccyzus minor,,,496
3870,YBCU,Yellow-billed Cuckoo,"2, 3",Coulicou à bec jaune,Coccyzus americanus,,,494
3871,WYBC,Western Yellow-billed Cuckoo,"2, 3",,Coccyzus americanus,Y,"Endangered western US populations (AZ, CA, CO, ID, MT, NV, NM, OR, TX, UT, WA, WY). | Les populations de l'ouest des États-Unis sont menacées (AZ, CA, CO, ID, MT, NV, NM, OR, TX, UT, WA, WY).",495
3880,BBCU,Black-billed Cuckoo,"2, 3",Coulicou à bec noir,Coccyzus erythropthalmus,,,497
3890,ELTR,Elegant Trogon,"3, 2, 1D",Trogon élégant,Trogon elegans,,,578
3891,EAQU,Eared Quetzal,2,Quetzal oreillard,Euptilotis neoxenus,,,579
3900,BEKI,Belted Kingfisher,"3A, 3B, 3",Martin-pêcheur d'Amérique,Megaceryle alcyon,,,586
3901,RIKI,Ringed Kingfisher,4,Martin-pêcheur à ventre roux,Megaceryle torquata,,,585
3910,GKIN,Green Kingfisher,"1D, 1A, 2",Martin-pêcheur vert,Chloroceryle americana,,Size 2 needs to be filed to a shorter height; 1D may be best fit. | La taille 2 doit être limer à une hauteur plus courte; la taille 1D peut être la plus appropriée.,587
3912,PRTO,Puerto Rican Tody,"X, 0A, 0",Todier de Porto Rico,Todus mexicanus,,,581
3920,IBWO,Ivory-billed Woodpecker,4,Pic à bec ivoire,Campephilus principalis,Y,,617
3930,HAWO,Hairy Woodpecker,"1D, 2, 1A",Pic chevelu,Dryobates villosus,,,605
3940,DOWO,Downy Woodpecker,1B,Pic mineur,Dryobates pubescens,,,604
3950,RCWO,Red-cockaded Woodpecker,1A,Pic à face blanche,Dryobates borealis,Y,,607
3960,LBWO,Ladder-backed Woodpecker,"1A, 1B",Pic arlequin,Dryobates scalaris,,,602
3970,NUWO,Nuttall's Woodpecker,"1A, 1B",Pic de Nuttall,Dryobates nuttallii,,,603
3980,ARWO,Arizona Woodpecker,1A,Pic de Strickland,Dryobates arizonae,,,606
3990,WHWO,White-headed Woodpecker,"1D, 2, 1A",Pic à tête blanche,Picoides albolarvatus,British Columbia,,608
4000,BBWO,Black-backed Woodpecker,2,Pic à dos noir,Picoides arcticus,,,610
4010,ATTW,American Three-toed Woodpecker,2,Pic à dos rayé,Picoides dorsalis,,,609
4020,YBSA,Yellow-bellied Sapsucker,"1B, 1A",Pic maculé,Sphyrapicus varius,,,597
4021,RNSA,Red-naped Sapsucker,"1A, 1B",Pic à nuque rouge,Sphyrapicus nuchalis,,,598
4023,HYSA,Hybrid Sapsucker,"1A, 1B",Pic buveur de sève hybride,,,"Report suspected parentage as a remark (e.g. Species1 x Species2). | Signalez les liens de parenté suspects dans le champs remarque (p. ex., Espèce1 x Espèce2).",600
4024,UNSA,Unidentified Sapsucker,"1A, 1B, 1D",Pic Sphyrapicus non identifié,,,,601
4030,RBSA,Red-breasted Sapsucker,"1A, 1B, 1D",Pic à poitrine rouge,Sphyrapicus ruber,,,599
4040,WISA,Williamson's Sapsucker,1A,Pic de Williamson,Sphyrapicus thyroideus,British Columbia,,596
4050,PIWO,Pileated Woodpecker,"4, 3A",Grand Pic,Dryocopus pileatus,,,616
4060,RHWO,Red-headed Woodpecker,"2, 1D, 2A",Pic à tête rouge,Melanerpes erythrocephalus,Manitoba,,590
,,,,,,Ontario,,
,,,,,,Québec,,
,,,,,,Saskatchewan,,
4070,ACWO,Acorn Woodpecker,"2, 1D, 2A",Pic glandivore,Melanerpes formicivorus,,,591
4071,PRWO,Puerto Rican Woodpecker,"2, 1D, 2A",Pic de Porto Rico,Melanerpes portoricensis,,,589
4080,LEWO,Lewis's Woodpecker,"3, 2",Pic de Lewis,Melanerpes lewis,Y,,588
4090,RBWO,Red-bellied Woodpecker,2,Pic à ventre roux,Melanerpes carolinus,,,594
4092,WIWO,West Indian Woodpecker,"3, 2A, 2",Pic à sourcils noirs,Melanerpes superciliaris,,,595
4100,GFWO,Golden-fronted Woodpecker,2,Pic à front doré,Melanerpes aurifrons,,,593
4110,GIWO,Gila Woodpecker,"2, 3, 2A",Pic des saguaros,Melanerpes uropygialis,,,592
4120,YSFL,Yellow-shafted Flicker,"3, 3B",Pic doré,Colaptes auratus auratus,,,611
4123,FLIN,Flicker Intergrade,"3, 3B",Pic intermédiaire,Colaptes auratus,,To be used for Northern Flickers that appear to be intergrades between two subspecies. | À utiliser pour les pics flamboyants qui semblent être entre les deux sous-espèces.,612
4124,UNFL,Unspecified Northern Flicker,"3, 3B",Pic Colaptes non spécifié,Colaptes auratus,,,614
4130,RSFL,Red-shafted Flicker,"3, 3B",Pic rosé,Colaptes auratus cafer,,,613
4140,GIFL,Gilded Flicker,3,Pic chrysoïde,Colaptes chrysoides,,,615
4160,CWWI,Chuck-will's-widow,3,Engoulevent de Caroline,Antrostomus carolinensis,,,533
4161,BCNI,Buff-collared Nightjar,2,Engoulevent de Ridgway,Antrostomus ridgwayi,,,534
4170,EWPW,Eastern Whip-poor-will,"1D, 2, 1A",Engoulevent bois-pourri,Antrostomus vociferus,Y,,535
4171,PRNI,Puerto Rican Nightjar,"1D, 1A, 2",Engoulevent de Porto Rico,Antrostomus noctitherus,Y,,537
4172,MWPW,Mexican Whip-poor-will,"1D, 1A, 2",Engoulevent d'Arizona,Antrostomus arizonae,,,536
4180,COPO,Common Poorwill,"1A, 1D, 2",Engoulevent de Nuttall,Phalaenoptilus nuttallii,,,532
4190,COPA,Common Pauraque,"2, 1D",Engoulevent pauraqué,Nyctidromus albicollis,,,531
4200,CONI,Common Nighthawk,"1D, 2, 1A",Engoulevent d'Amérique,Chordeiles minor,Alberta,,529
,,,,,,British Columbia,,
,,,,,,Manitoba,,
,,,,,,New Brunswick,,
,,,,,,Newfoundland and Labrador,,
,,,,,,Nova Scotia,,
,,,,,,Ontario,,
,,,,,,Prince Edward Island,,
,,,,,,Québec,,
,,,,,,Saskatchewan,,
,,,,,,Yukon Territory,,
,,,,,,Northwest Territories,,
4201,ANNI,Antillean Nighthawk,"2, 1A, 1D",Engoulevent piramidig,Chordeiles gundlachii,,,530
4210,LENI,Lesser Nighthawk,"1D, 1A, 2",Engoulevent minime,Chordeiles acutipennis,,,528
4220,BLSW,Black Swift,"1A, 1B",Martinet sombre,Cypseloides niger,Y,,538
4230,CHSW,Chimney Swift,"1B, 1",Martinet ramoneur,Chaetura pelagica,Manitoba,,539
,,,,,,New Brunswick,,
,,,,,,Nova Scotia,,
,,,,,,Ontario,,
,,,,,,Québec,,
,,,,,,Saskatchewan,,
4231,STSW,Short-tailed Swift,"1B, 1, 1C",Martinet polioure,Chaetura brachyura,,,541
4240,VASW,Vaux's Swift,1,Martinet de Vaux,Chaetura vauxi,,,540
4250,WTSW,White-throated Swift,2,Martinet à gorge blanche,Aeronautes saxatalis,,,545
4260,RIHU,Rivoli's Hummingbird,X,Colibri de Rivoli,Eugenes fulgens,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",552
4261,PCST,Plain-capped Starthroat,X,Colibri de Constant,Heliomaster constantii,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",553
4270,BTMG,Blue-throated Mountain-gem,X,Colibri à gorge bleue,Lampornis clemenciae,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",554
4271,MEVI,Mexican Violetear,X,Colibri thalassin,Colibri thalassinus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",546
4280,RTHU,Ruby-throated Hummingbird,X,Colibri à gorge rubis,Archilochus colubris,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",557
4290,BCHU,Black-chinned Hummingbird,X,Colibri à gorge noire,Archilochus alexandri,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",558
4300,COHU,Costa's Hummingbird,X,Colibri de Costa,Calypte costae,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",560
4310,ANHU,Anna's Hummingbird,X,Colibri d'Anna,Calypte anna,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",559
4320,BTHU,Broad-tailed Hummingbird,X,Colibri à queue large,Selasphorus platycercus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",562
4330,RUHU,Rufous Hummingbird,X,Colibri roux,Selasphorus rufus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",563
4331,UNSE,Unidentified Selasphorus Hummingbird,X,Colibri Selasphorus non identifié,,,,565
4340,ALHU,Allen's Hummingbird,X,Colibri d'Allen,Selasphorus sasin,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",564
4350,BUHU,Bumblebee Hummingbird,X,Colibri héloïse,Selasphorus heloisa,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",561
4360,CAHU,Calliope Hummingbird,X,Colibri calliope,Selasphorus calliope,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",568
4361,JAMA,Jamaican Mango,X,Mango de la Jamaïque,Anthracothorax mango,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",550
4362,GRMA,Green Mango,X,Mango vert,Anthracothorax viridis,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",549
4363,GTCA,Green-throated Carib,X,Colibri falle-vert,Eulampis holosericeus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",551
4364,ACHU,Antillean Crested Hummingbird,X,Colibri huppé,Orthorhyncus cristatus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",571
4366,GREM,Green-breasted Mango,X,Mango de Prévost,Anthracothorax prevostii,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",547
4370,LUHU,Lucifer Hummingbird,X,Colibri lucifer,Calothorax lucifer,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",556
4371,BAWO,Bahama Woodstar,X,Colibri des Bahamas,Nesophlox evelynae,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",555
4380,RUFH,Rufous-tailed Hummingbird,X,Ariane à ventre gris,Amazilia tzacatl,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",573
4381,BEHU,Berylline Hummingbird,X,Ariane béryl,Saucerottia beryllina,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",572
4390,BUFH,Buff-bellied Hummingbird,X,Ariane du Yucatan,Amazilia yucatanensis,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",574
4391,VCHU,Violet-crowned Hummingbird,X,Ariane à couronne violette,Ramosomyia violiceps,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",575
4401,WEHU,White-eared Hummingbird,X,Saphir à oreilles blanches,Basilinna leucotis,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",577
4402,PREM,Puerto Rican Emerald,X,Émeraude de Porto Rico,Chlorostilbon maugaeus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",569
4408,HYHU,Hybrid Hummingbird,X,Hybride de colibri,,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. Explain in remarks what the parent species were. | La taille appropriée de la bague est déterminée en fonction de l'espèce, du sexe et de considérations géographiques. Expliquer dans les remarques quelles étaient les espèces parentes.",566
4409,UNHU,Unidentified Hummingbird,X,Colibri non identifié,,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",567
4410,BBLH,Broad-billed Hummingbird,X,Colibri circé,Cynanthus latirostris,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. | Le diamètre approprié de la bague est déterminé en fonction de l'espèce, du sexe et de considérations géographiques.",570
4411,RTBE,Rose-throated Becard,"1B, 1A, 1",Bécarde à gorge rose,Pachyramphus aglaiae,,,703
4420,FTFL,Fork-tailed Flycatcher,"1A, 1B, 1",Tyran des savanes,Tyrannus savana,,,702
4430,STFL,Scissor-tailed Flycatcher,1A,Tyran à longue queue,Tyrannus forficatus,,,701
4440,EAKI,Eastern Kingbird,1B,Tyran tritri,Tyrannus tyrannus,,,698
4450,GRAK,Gray Kingbird,"1A, 1D, 1B",Tyran gris,Tyrannus dominicensis,,,699
4451,TBKI,Thick-billed Kingbird,1A,Tyran à bec épais,Tyrannus crassirostris,,,696
4452,LOKI,Loggerhead Kingbird,"1A, 1B",Tyran tête-police,Tyrannus caudifasciatus,,,700
4460,TRKI,Tropical Kingbird,"1A, 1B, 1D",Tyran mélancolique,Tyrannus melancholicus,,,693
4461,COKI,Couch's Kingbird,"1A, 1B",Tyran de Couch,Tyrannus couchii,,,694
4470,WEKI,Western Kingbird,"1A, 1B",Tyran de l'Ouest,Tyrannus verticalis,,,697
4480,CAKI,Cassin's Kingbird,1A,Tyran de Cassin,Tyrannus vociferans,,,695
4490,GKIS,Great Kiskadee,"2, 1D",Tyran quiquivi,Pitangus sulphuratus,,,691
4510,SBFL,Sulphur-bellied Flycatcher,"1B, 1A",Tyran tigré,Myiodynastes luteiventris,,,692
4520,GCFL,Great Crested Flycatcher,"1A, 1B",Tyran huppé,Myiarchus crinitus,,,685
4530,BCFL,Brown-crested Flycatcher,1A,Tyran de Wied,Myiarchus tyrannulus,,,686
4531,NUFL,Nutting's Flycatcher,1B,Tyran de Nutting,Myiarchus nuttingi,,,684
4540,ATFL,Ash-throated Flycatcher,"1B, 1A, 1",Tyran à gorge cendrée,Myiarchus cinerascens,,,683
4550,DCFL,Dusky-capped Flycatcher,"1B, 1, 1C",Tyran olivâtre,Myiarchus tuberculifer,,,682
4551,LSFL,La Sagra's Flycatcher,"1, 1B, 1C",Tyran de La Sagra,Myiarchus sagrae,,,687
4552,PRFL,Puerto Rican Flycatcher,"1B, 1A, 1",Tyran de Porto Rico,Myiarchus antillarum,,,689
4553,STOF,Stolid Flycatcher,1B,Tyran grosse-tête,Myiarchus stolidus,,,688
4554,LESF,Lesser Antillean Flycatcher,1B,Tyran janeau,Myiarchus oberi,,,690
4560,EAPH,Eastern Phoebe,"0, 1C, 1",Moucherolle phébi,Sayornis phoebe,,,678
4570,SAPH,Say's Phoebe,"1, 1C",Moucherolle à ventre roux,Sayornis saya,,,679
4580,BLPH,Black Phoebe,"1, 1C",Moucherolle noir,Sayornis nigricans,,,677
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Moucherolle à côtés olive,Contopus cooperi,Alberta,,654
,,,,,,British Columbia,,
,,,,,,Manitoba,,
,,,,,,New Brunswick,,
,,,,,,Newfoundland and Labrador,,
,,,,,,Nova Scotia,,
,,,,,,Ontario,,
,,,,,,Prince Edward Island,,
,,,,,,Québec,,
,,,,,,Saskatchewan,,
,,,,,,Yukon Territory,,
,,,,,,Northwest Territories,,
4600,GRPE,Greater Pewee,"1B, 1",Moucherolle de Coues,Contopus pertinax,,,655
4610,EAWP,Eastern Wood-Pewee,"0A, 0, 1C, 1",Pioui de l'Est,Contopus virens,,,657
4620,WEWP,Western Wood-Pewee,"0A, 0, 1C, 1",Pioui de l'Ouest,Contopus sordidulus,,,656
4621,CUPE,Cuban Pewee,"0, 0A, 1",Moucherolle tête-fou,Contopus caribaeus,,,658
4622,LAPE,Lesser Antillean Pewee,"0, 0A, 1C",Moucherolle gobemouche,Contopus latirostris,,,661
4623,JAPE,Jamaican Pewee,"0, 1C, 1",Moucherolle de la Jamaïque,Contopus pallidus,,,659
4624,HIPE,Hispaniolan Pewee,"0, 1C, 1",Moucherolle d'Hispaniola,Contopus hispaniolensis,,,660
4630,YBFL,Yellow-bellied Flycatcher,"0A, 0",Moucherolle à ventre jaune,Empidonax flaviventris,,,662
4640,COFL,Cordilleran Flycatcher,"0A, 0",Moucherolle des ravins,,,"AOU split from 4649-WEFL in 1989. | AOU l’a séparé de 4649-WEFL en 1989. No longer species from From Western Flycatcher lump, AOS 64rd Supplement",674
4641,PSFL,Pacific-slope Flycatcher,"0A, 0",Moucherolle côtier,,,"AOU split from 4649-WEFL in 1989. | AOU l’a séparé de 4649-WEFL en 1989. No longer species from From Western Flycatcher lump, AOS 64rd Supplement",672
4649,WEFL,Western Flycatcher,"0A, 0",Moucherolle de l'Ouest,Empidonax difficilis,,"Elevated to species, AOS 64rd Supplement (2023)",673
4650,ACFL,Acadian Flycatcher,"0A, 0",Moucherolle vert,Empidonax virescens,Ontario,,663
4660,WIFL,Willow Flycatcher,"0A, 0",Moucherolle des saules,Empidonax traillii,,AOU split from 4669-TRFL in 1973. | AOU l’a séparé de 4669-TRFL en 1973.,666
4661,ALFL,Alder Flycatcher,"0A, 0",Moucherolle des aulnes,Empidonax alnorum,,AOU split from 4669-TRFL in 1973. | AOU l’a séparé de 4669-TRFL en 1973.,664
4664,SWFL,Southwestern Willow Flycatcher,"0, 0A",Moucherolle des saules forme du Sud-Ouest,Empidonax traillii extimus,Y,,667
4669,TRFL,Traill's Flycatcher,"0A, 0",Moucherolle de Traill,,,"Empidonax alnorum and E. traillii, prior to split in 1973. | Empidonax alnorum et E. traillii, avant la séparation en 1973.",665
4670,LEFL,Least Flycatcher,"0A, 0",Moucherolle tchébec,Empidonax minimus,,,668
4679,UNEM,Unidentified Empidonax,"0A, 0",Moucherolle Empidonax non identifié,,,Explain in Remarks why the unidentified code was chosen | Expliquez dans les Remarques pourquoi le code non identifié a été choisi.,676
4680,HAFL,Hammond's Flycatcher,"0A, 0",Moucherolle de Hammond,Empidonax hammondii,,,669
4690,DUFL,Dusky Flycatcher,"0A, 0",Moucherolle sombre,Empidonax oberholseri,,,671
4691,GRFL,Gray Flycatcher,"0A, 0",Moucherolle gris,Empidonax wrightii,,,670
4700,BBFL,Buff-breasted Flycatcher,"0A, 0",Moucherolle beige,Empidonax fulvifrons,,,675
4710,VEFL,Vermilion Flycatcher,"0, 0A, 1C, 1",Moucherolle vermillon,Pyrocephalus rubinus,,,680
4711,GREL,Greenish Elaenia,"0A, 0",Élénie verdâtre,Myiopagis viridicata,,,649
4720,NBTY,Northern Beardless-Tyrannulet,"0A, 0",Tyranneau imberbe,Camptostoma imberbe,,,647
4721,CAEL,Caribbean Elaenia,"1, 1C, 0, 1B",Élénie siffleuse,Elaenia martinica,,,650
4722,SBEL,Small-billed Elaenia,"1, 1C, 0, 1B",Élénie à bec court,Elaenia parvirostris,,,650
4730,EUSK,Eurasian Skylark,1B,Alouette des champs,Alauda arvensis,,,762
4740,HOLA,Horned Lark,1B,Alouette hausse-col,Eremophila alpestris,Y,strigata subspecies endangered in BC. | La sous-espèce strigata est menacée en Colombie-Britannique.,763
4741,SHLA,Streaked Horned Lark,1B,,Eremophila alpestris strigata,Y,"E. a. strigata only in OR, WA. BC | E. a. strigata uniquement en Oregon, Washington, Colombie-Britannique.",764
4750,BBMA,Black-billed Magpie,"4, 3A, 3B",Pie d'Amérique,Pica hudsonia,,,747
4760,YBMA,Yellow-billed Magpie,3A,Pie à bec jaune,Pica nuttalli,,,748
4770,BLJA,Blue Jay,"2, 3, 2A",Geai bleu,Cyanocitta cristata,,,739
4780,STJA,Steller's Jay,"3, 2, 3B",Geai de Steller,Cyanocitta stelleri,,,738
4790,FLSJ,Florida Scrub-Jay,"3, 2, 2A",Geai à gorge blanche,Aphelocoma coerulescens,Y,,740
4810,UWSJ,Unspecified Western Scrub-Jay,"3, 2, 2A",Geai buissonnier non spécifié,,,Includes Aphelocoma californica and A. woodhouseii prior to split in AOS 57th Supplement (2016),743
4811,ISSJ,Island Scrub-Jay,"3, 3B",Geai de Santa Cruz,Aphelocoma insularis,,,742
4812,WOSJ,Woodhouse's Scrub-Jay,"3, 2, 2A",,Aphelocoma woodhouseii,,,744
4813,CASJ,California Scrub-Jay,"3, 2, 2A",,Aphelocoma californica,,,741
4820,MEJA,Mexican Jay,"3A, 3B",Geai du Mexique,Aphelocoma wollweberi,,,745
4830,GRJA,Green Jay,"2, 2A, 3",Geai vert,Cyanocorax yncas,,,736
4832,BRJA,Brown Jay,"4A, 4, 3A",Geai enfumé,Psilorhinus morio,,,735
4840,CAJA,Canada Jay,"3, 2, 2A",Mésangeai du Canada,Perisoreus canadensis,,,734
4860,CORA,Common Raven,"7A, 6, 7",Grand Corbeau,Corvus corax,,,758
4870,CHRA,Chihuahuan Raven,"5, 5A",Corbeau à cou blanc,Corvus cryptoleucus,,,757
4871,WNCR,White-necked Crow,"5, 6",Corneille d'Hispaniola,Corvus leucognaphalus,Y,,752
4880,AMCR,American Crow,"5, 5A",Corneille d'Amérique,Corvus brachyrhynchos,,,750
4890,NOCR,Northwestern Crow,"4A, 4",Corneille d'Alaska,Corvus brachyrhynchos caurinus,,,751
4891,TACR,Tamaulipas Crow,4,Corneille du Mexique,Corvus imparatus,,,754
4892,HCRO,Hawaiian Crow,6,Corneille d'Hawaï,Corvus hawaiiensis,Y,,756
4900,FICR,Fish Crow,"4A, 4",Corneille de rivage,Corvus ossifragus,,,755
4910,CLNU,Clark's Nutcracker,"3, 3B, 3A",Cassenoix d'Amérique,Nucifraga columbiana,,,746
4920,PIJA,Pinyon Jay,"3, 2, 2A",Geai des pinèdes,Gymnorhinus cyanocephalus,,,737
4930,EUST,European Starling,"2, 3, 2A",Étourneau sansonnet,Sturnus vulgaris,,,895
4931,CRMY,Crested Myna,"3, 2",Martin huppé,Acridotheres cristatellus,,,896
4932,COMY,Common Myna,"3A, 3B, 3",Martin triste,Acridotheres tristis,,,899
4933,JAMY,Javan Myna,"1A, 2, 1D",Martin à ventre blanc,Acridotheres javanicus,,,897
4934,HIMY,Hill Myna,3,Mainate religieux,Gracula religiosa,,,900
4935,JUMY,Jungle Myna,"3B, 3",Martin forestier,Acridotheres fuscus,,,898
4940,BOBO,Bobolink,"M: 1A, 1B",Goglu des prés,Dolichonyx oryzivorus,Y,,1108
,,,"F: 1B, 1A",,,,,
4950,BHCO,Brown-headed Cowbird,"M: 1A, 1D, 2, 1B",Vacher à tête brune,Molothrus ater,,,1126
,,,"F: 1B, 1A, 1D",,,,,
4960,BROC,Bronzed Cowbird,"M: 2, 1D",Vacher bronzé,Molothrus aeneus,,,1125
,,,"F: 1A, 1D",,,,,
4961,SHCO,Shiny Cowbird,"2, 1D, 1A",Vacher luisant,Molothrus bonariensis,,,1124
4970,YHBL,Yellow-headed Blackbird,"M: 2, 3, 1D",Carouge à tête jaune,Xanthocephalus xanthocephalus,,,1117
,,,"F: 1A, 1D, 2",,,,,
